Index,Title,Category,New Category,Reference Number,Maker/Artist,Materials,Measurements,Time Period,FINAL,Additional Information,Image Link
3328,St. Donat de Munstereifel,Sculpture,Figures,958,,Wood; Polychrome,62 cm,1750-1850,1800,statue; religious; man; standing,https://artcrimes.fbi.gov/nsaf/st-donat-de-munstereifel/StDonatMunstereifel.gif/@@images/image/thumb
3329,German Scene,Paintings,Physical Art,926,W. Heurh,Watercolor,10 x 20 in,,,painting; exterior; landscape; water; mountain; Signed,https://artcrimes.fbi.gov/nsaf/german-scene/GermanScene.gif/@@images/image/thumb
3330,Titles of Honor,Books,Physical Art,895,John Selden,Printed paper book,Length,Copyright,,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/titles-of-honor/seal-fbi.jpg/@@images/image/thumb
3331,Citrine Sphere,Sculpture,Figures,361,Andreas von Zadora Gerlof,Citrine,Diameter,,,,https://artcrimes.fbi.gov/nsaf/citrine-sphere/CitrineSphere.gif/@@images/image/thumb
3332,Rue a Macon,Paintings,Physical Art,804,Camille Pissarro,Watercolor,6.75 x 9.13 in,19th Century,1892,,https://artcrimes.fbi.gov/nsaf/rue-a-macon/RueMacon.gif/@@images/image/thumb
3333,Voyage to the South Sea,Books,Physical Art,895,A.F. Frezier,Printed paper book,,Copyright,,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/voyage-to-the-south-sea/seal-fbi.jpg/@@images/image/thumb
3334,Whale tooth and piece of ivory/tooth,Other - Arts and Antiques,Miscellaneous,89,,Ivory,"Whale tooth, diameter",1840s,1840,"Scrimshaw; bottom of whale's tooth is flat, additional piece of ivory/tooth cut in half lengthwise",https://artcrimes.fbi.gov/nsaf/whale-tooth-and-piece-of-ivory-tooth/WhaleTooth.gif/@@images/image/thumb
3335,Figures in a Parisian Park,Paintings,Physical Art,675,Luigi Loir,Oil on panel,3.75 x 6.25 in,1865-1916,1891,"painting; people; park; trees; impressionism; blue; Signed on lower right ""Loir Luigi""",https://artcrimes.fbi.gov/nsaf/figures-in-a-parisian-park/FiguresParisianPark.gif/@@images/image/thumb
3336,Buffalo Sculpture,Sculpture,Figures,452,Roy Lennberg,Wood,10 in,,,sculpture; buffalo,https://artcrimes.fbi.gov/nsaf/roy-lennberg-buffalo-sculpture/BrownBuffalo.gif/@@images/image/thumb
3337,Angels' Flight,Paintings,Physical Art,1031,Robert Woolfe,Oil on canvas,37 x 31 in,1982,1982,"painting; exterior; city; street; Los Angeles, California; car; people; lamppost; arch; cable car; ""Woolfe 82"" lower right",https://artcrimes.fbi.gov/nsaf/angels-flight/AngelsFlight.gif/@@images/image/thumb
3338,Venini Vase,Vase,Containers,881,Venini & Co.,Glass,11 in,,,vase,https://artcrimes.fbi.gov/nsaf/venini-vase/seal-fbi.jpg/@@images/image/thumb
3339,Curving Bridge,Paintings,Physical Art,782,Ostor Glorig,Oil on canvas,37 x 47 in,1965-1969,1967,painting; landscape; bridge; signed Ostor Glorig on lower left; hand carved dark wood frame,https://artcrimes.fbi.gov/nsaf/curving-bridge/CurvingBridge.jpg/@@images/image/thumb
3340,Woodland Scene,Paintings,Physical Art,764,Narcisse Virgile Diaz de la Pena,Oil on panel,10.5 x 16 in,19th Century,1860,painting; exterior; landscape; trees; figure; one; standing; Signed N. Diaz,https://artcrimes.fbi.gov/nsaf/woodland-scene/Woodland.gif/@@images/image/thumb
3341,Untitled Philip Paval Abstract Painting,Paintings,Physical Art,964,Philip Paval,Oil on board,24 x 30 in,1950-1970,1960,painting; abstract art,https://artcrimes.fbi.gov/nsaf/untitled-philip-paval-abstract-painting-id-014413/PhilipPaval3.gif/@@images/image/thumb
3342,Belcher Engraved Bowl,Ornamental Ceramic Wares,Containers,389,Caddo Nation,Ceramic,6.7 cm,600 AD,600,"pottery; central design with white pigment, horizontally incised line on inside of bowl at shoulder line; no nicks or cracks, considerable amount of mica in paste, no signs of use or wear",https://artcrimes.fbi.gov/nsaf/belcher-engraved-bowl/BelcherBowl.gif/@@images/image/thumb
3343,"Fossil Creodont, Primitive Carnivore",Other - Arts and Antiques,Miscellaneous,847,,Partially mineralized bone,3 x 2 in,,,fossil; catalogue number 22479; bone fracture patterns are unique,https://artcrimes.fbi.gov/nsaf/fossil-creodont-primitive-carnivore/FossilCreodont.gif/@@images/image/thumb
3344,"Woman's Head from larger statue, with Red Hair pulled to a bun",Sculpture,Figures,1049,,,5.4 x 3.3 cm,,,sculpture; head; woman; earring,https://artcrimes.fbi.gov/nsaf/womans-head-from-larger-statue-with-red-hair-pulled-to-a-bun/BeigeHead.gif/@@images/image/thumb
3345,The Vermont Notebook,Books,Physical Art,895,John Ashbery,Printed paper book,Length,Copyright,,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/the-vermont-notebook/seal-fbi.jpg/@@images/image/thumb
3346,Woman and Child,Paintings,Physical Art,37,Henri Lebasque,Oil on canvas,25 x 21 in,Late 19th century,1866,painting; interior; room; woman; sitting; child; table; vase; flowers; hat; Signed lower right,https://artcrimes.fbi.gov/nsaf/woman-and-child/WomanAndChild.gif/@@images/image/thumb
3347,Mulina,Sculpture,Figures,355,Giancarlo Biagi,Bronze,16.25 in,,,Edition #4/12,https://artcrimes.fbi.gov/nsaf/mulina/seal-fbi.jpg/@@images/image/thumb
3348,Venice,Paintings,Physical Art,835,Joseph Sloman,Oil on board,,1883,1883,"painting; Venice, Italy; water; buildings; canal",https://artcrimes.fbi.gov/nsaf/venice-joseph-sloman-painting/Venice.gif/@@images/image/thumb
3349,Plum Blossoms,Paintings,Physical Art,964,Utaka Mizushima,Oil on canvas,26.25 x 36.5 in,1900-1965,1933,"painting; Asian; still life; flowers; Gold colored label with title of picture, artist name, ""Nagoya, Japan"" lower right",https://artcrimes.fbi.gov/nsaf/plum-blossoms/PlumBlossoms.gif/@@images/image/thumb
3350,Boy Reading | Young Man Reading,Paintings,Physical Art,627,Winslow Homer,Oil on panel,6 5/8 x 9 1/4 in,19th Century,1866,painting; boy; reading; Signed,https://artcrimes.fbi.gov/nsaf/boy-reading-young-man-reading/00627%20picture.jpg/@@images/image/thumb
3351,Group Dancing,Paintings,Physical Art,926,Iran,,16 x 18 in,1775-1825,1800,painting; Persian; people; dancing; Signed,https://artcrimes.fbi.gov/nsaf/group-dancing/GroupDancing.gif/@@images/image/thumb
3352,Blue Bird,Sculpture,Figures,881,Vistosi,Glass,,,,sculpture; modern art; bird,https://artcrimes.fbi.gov/nsaf/blue-bird/BlueBird.gif/@@images/image/thumb
3353,Street in Provincetown,Paintings,Physical Art,953,Charles Anton Kaeselau,Watercolor painting,Height,Circa 1935,1935,"Signed ""Charles Kaeselau"" lower left black ink; Label on verso from National Museum of American Art",https://artcrimes.fbi.gov/nsaf/street-in-provincetown/seal-fbi.jpg/@@images/image/thumb
3354,Peruvian diplomatic communique 1/5,Other - Assorted,Miscellaneous,1128,,,,,,,https://artcrimes.fbi.gov/nsaf/peruvian-diplomatic-communique-1-5/01128_picture_1.jpg/@@images/image/thumb
3355,Portrait of a Woman Wearing a Black Hat,Paintings,Physical Art,722,Anonymous,Oil on canvas,48 x 36 in,,,painting; portrait,https://artcrimes.fbi.gov/nsaf/portrait-of-a-woman-wearing-a-black-hat/WomanHat.gif/@@images/image/thumb
3356,Central Park Off Cedar Hill,Paintings,Physical Art,1046,Max Moran,Oil on canvas,30 x 38 in,1992,1992,,https://artcrimes.fbi.gov/nsaf/central-park-off-cedar-hill/01046_picture_51.JPG/@@images/image/thumb
3357,Faberge Helmet/Vodka Cup,Clothing and Costumes,Fabrics,956,Faberge,,,,,helmet; cup; eagle,https://artcrimes.fbi.gov/nsaf/faberge-helmet-vodka-cup/HelmetCup.gif/@@images/image/thumb
3358,Satsuma Tea Set,Ornamental Ceramic Wares,Containers,240,Satsuma,Porcelain,Teapot,Circa 1840,1840,tea set; people; butterflies; Marked,https://artcrimes.fbi.gov/nsaf/satsuma-tea-set/SatsumaSet.gif/@@images/image/thumb
3359,Grabado de Alberto Beltran,Print,Physical Art,861,Alberto Beltran,Lithograph,10.25 x 15.75 in,,,"print; political cartoon; number 118 in lower left, title in lower left, signed in lower right",https://artcrimes.fbi.gov/nsaf/grabado-de-alberto-beltran/GrabadoAlbertoBeltran.jpg/@@images/image/thumb
3360,Half Shell Nautalis,Photographs,Physical Art,963,Edward Weston,Paper,8 x 10 in,1927,1927,photograph; shell; Cole Weston signature on verso; EW stamp,https://artcrimes.fbi.gov/nsaf/half-shell-nautalis/HalfShellNautilis.gif/@@images/image/thumb
3361,Black Cylinder #13,Sculpture,Figures,872,Dale Chihuly,Glass,Height,,,Sculpture,https://artcrimes.fbi.gov/nsaf/black-cylinder-13-id-022485/BlackCylinder022485.jpg/@@images/image/thumb
3362,Cara de Angel I | Angel Face I,Sculpture,Figures,481,Mexico,Wood carved; Gold leaf,15 x 65 x 15 cm,18th Century,1762,sculpture; religious; angel; It must have signs of being detached violently from a main piece.,https://artcrimes.fbi.gov/nsaf/cara-de-angel-i-angel-face-i/AngelFace1.gif/@@images/image/thumb
3363,Polio Fingers,Paintings,Physical Art,796,Lucien Smith,Oil on canvas,7.25 x 10 in,2015,2015,LuSm 77,https://artcrimes.fbi.gov/nsaf/polio-fingers/PolioFingers.jpg/@@images/image/thumb
3364,Lieutenant General Barton K. Yount,Watercolour Drawings,Physical Art,727,Norman Rockwell,Pencil on paper,24 x 18 in,,,"drawing; portrait; man; military; uniform; hat; ""Norman Rockwell"" in block lettering lower right",https://artcrimes.fbi.gov/nsaf/lieutenant-general-barton-k-yount/GeneralYount.gif/@@images/image/thumb
3365,Boarders,Photographs,Physical Art,963,Lewis Hine,Photograph,Height,,,Signed on verso; Walter Rosenblum label on the back lower left corner,https://artcrimes.fbi.gov/nsaf/boarders/seal-fbi.jpg/@@images/image/thumb
3366,"Lily of the Valley, Rock Crystal Vase",Vase,Containers,911,Zadora Limited,Gold; Pearl; Diamond; Enamel,,20th Century,1966,"""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/lily-of-the-valley-rock-crystal-vase/seal-fbi.jpg/@@images/image/thumb
3367,Gathering Fruit,Print,Physical Art,861,Brustos,Lithograph,12.75 x 15.25 in,,,print; landscape; river; fruit; signed lower right,https://artcrimes.fbi.gov/nsaf/gathering-fruit/GatheringFruit.jpg/@@images/image/thumb
3368,Two Balconies,Paintings,Physical Art,1158,Salvador Dali,Oil on canvas,34.5 x 23.5 cm,1929,1929,oil painting; landscape; signed,https://artcrimes.fbi.gov/nsaf/two-balconies/TwoBalconies.gif/@@images/image/thumb
3369,Coin Depicting Right Profile of Emperor,Coins and Paper Money,,1049,,,,,,coin; man; royalty; emperor; cross,https://artcrimes.fbi.gov/nsaf/coin-depicting-right-profile-of-emperor/EmperorCoin.gif/@@images/image/thumb
3370,Clay Statue of Standing Figurine Wearing Crown,Sculpture,Figures,1049,,Clay,23.2 x 6.5 cm,,,sculpture; person; standing; crown; dress,https://artcrimes.fbi.gov/nsaf/clay-statue-of-standing-figurine-wearing-crown/PedestalCrown.gif/@@images/image/thumb
3371,Akan Gold Pendant,Other - Jewelry,Accessories,461,Akan,Gold,5.20 x 4.50 cm,1600-1800,1700,jewelry,https://artcrimes.fbi.gov/nsaf/akan-gold-pendant-id-021638/Pendant021638.jpg/@@images/image/thumb
3372,Pornography and Obscenity,Books,Physical Art,895,David Herbert Lawrence,Printed paper book,Length,Copyright,,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/pornography-and-obscenity/seal-fbi.jpg/@@images/image/thumb
3373,"Album of Plants, Animals and Birds: Cat",Watercolour Drawings,Physical Art,356,Chen Chia-yen; China,Ink on paper,28 x 24 cm,1368-1643,1506,drawing; Asian; cat; Seal of artist in lower right,https://artcrimes.fbi.gov/nsaf/album-of-plants-animals-and-birds-cat/AlbumCat.gif/@@images/image/thumb
3374,Returning to the Trenches,Print,Physical Art,779,Christopher Richard Wynne Nevinson,Drypoint,6 x 8 in,1916,1916,Signed and dated in pencil. From edition of 75.,https://artcrimes.fbi.gov/nsaf/returning-to-the-trenches/ReturningTrenches.jpg/@@images/image/thumb
3375,"Large Rhino Sculpture, Blue Chalcedony, Ruby and Quartz",Sculpture,Figures,911,Zadora Limited,Chalcedony; Ruby; Quartz,,20th Century,1999,"""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/large-rhino-sculpture-blue-chalcedony-ruby-and-quartz/seal-fbi.jpg/@@images/image/thumb
3376,Untitled (Stick Figure),Paintings,Physical Art,361,Rufino Tamayo,Oil on canvas,27 x 23.25 in,1968,1968,Signed and dated 0-68 in lower right.,https://artcrimes.fbi.gov/nsaf/untitled-stick-figure/UntitledStickFigure.jpg/@@images/image/thumb
3377,Still Life of Roses in a Basket on a Table,Paintings,Physical Art,79,Johan Laurents Jensen,Oil on canvas,15.5 x 18 in,1829,1829,painting; still life; flowers; basket; table,https://artcrimes.fbi.gov/nsaf/still-life-of-roses-in-a-basket-on-a-table/StillLifeRoses.gif/@@images/image/thumb
3378,Kali Jambala,Sculpture,Figures,258,Asian,Bronze gilt,8 in,16th Century,1570,sculpture; standing figure; Hinduism,https://artcrimes.fbi.gov/nsaf/kali-jambala/KaliJambala.gif/@@images/image/thumb
3379,Don du Musee (The First Mass Book),Paintings,Physical Art,964,E. Le Febure,Oil on canvas,31 x 48 in,1875-1946,1911,painting; still life; book; chalice,https://artcrimes.fbi.gov/nsaf/don-du-musee-the-first-mass-book/DonDuMusee.gif/@@images/image/thumb
3380,Stucco Ornaments,Other - Arts and Antiques,Miscellaneous,1160,Kufir; Iraq,Stucco,,,,architectural element; geometric,https://artcrimes.fbi.gov/nsaf/stucco-ornaments/StuccoOrnaments.gif/@@images/image/thumb
3381,Landscape by Diego,Watercolour Drawings,Physical Art,819,Diego Rivera,Watercolor,18.125 x 12.125 in,20th Century,1995,"Watercolor; Landscape; Singed lower right ""Diego Rivera v. 11""; In each corner there appear to be tack marks where Rivera tacked the work to paint it. Some yellowing has occurred near these marks. Yellowing of the paper on the bottom right. Dirt and yellowing close to the signature. The frame is dirty along the edges and could use a cleaning. Structurally it is sound and there is little damage visible.",https://artcrimes.fbi.gov/nsaf/landscape-by-diego/Landscape022547.jpg/@@images/image/thumb
3382,Scrimshawed Letter Opener,Other - Arts and Antiques,Miscellaneous,560,,Ivory,21 in,1866,1866,"letter opener; scrimshaw; teepee; bison; Native American; face; horse; spear; house; skull; Inscriptions on the flat blade portion; Teepee, bison with inscription ""The Noble Beast Monarch of the Plains,"" stage, Indian face with inscription ""Red Cloud,"" horse head with lance and sword which is symbol for ""2nd Cavalry,"" two story house depicting ""the Bedlam,"" cattle skull over drum with spear and tomahawk, various scroll work, and the inscription ""Presented to Col Henry Maynadier by the officers and men of the Ft Lar garrison, June 1866."" Scrimshaw inscription on rounded handle portion",https://artcrimes.fbi.gov/nsaf/scrimshawed-letter-opener/LetterOpener.gif/@@images/image/thumb
3383,Lizog,Sculpture,Figures,882,Dana Clark,Alabaster,7 x 12 x 12 in,1986,1986,sculpture; frog; white; Not signed,https://artcrimes.fbi.gov/nsaf/lizog/Lizog.gif/@@images/image/thumb
3384,Torso II,Paintings,Physical Art,1041,Leon Golub,Oil and lacquer on canvas,47 x 45 in,1960,1960,"painting; modern art; figure; Signed lower left ""Golub '60""",https://artcrimes.fbi.gov/nsaf/torso-ii/Torso2.gif/@@images/image/thumb
3385,Belcher Engraved Bowl (Warped),Ornamental Ceramic Wares,Containers,389,Caddo Nation,Ceramic,,600 AD,600,"pottery; Slanted line motif, repeats 4 times; sharp shouldered bowl, four pronounced nodes",https://artcrimes.fbi.gov/nsaf/belcher-engraved-bowl-warped/WarpedBowl.gif/@@images/image/thumb
3386,Trick or Treat,Watercolour Drawings,Physical Art,1040,Bill Melendez,Acrylic paint on clear transparency,10.5 x 12.5 in,20th Century,1950,"animation cel; animation; comic; Peanuts; Linus; Sally; Halloween; ghost; Signed ""Bill Melendez"" and numbered lower right; 60 cels #246-275; #381-410 out of 500",https://artcrimes.fbi.gov/nsaf/trick-or-treat/TrickOrTreat.gif/@@images/image/thumb
3387,Formosa Brown and Pink Macchia with Teal Lip Wraps,Sculpture,Figures,872,Dale Chihuly,Glass,Height,,,Sculpture,https://artcrimes.fbi.gov/nsaf/formosa-brown-and-pink-macchia-with-teal-lip-wraps/FormosaBrownPink%20MacchiaTealLipWraps.jpg/@@images/image/thumb
3388,Payne's Gray Basket with Mars Red Drawing,Sculpture,Figures,872,Dale Chihuly,Glass,Height,,,Sculpture,https://artcrimes.fbi.gov/nsaf/paynes-gray-basket-with-mars-red-drawing/PaynesGrayBasketMarsRedDrawing.jpg/@@images/image/thumb
3389,Portrait of Tjallinga thoe Schwartzenberg,Paintings,Physical Art,489,Narcisse Garnier,Oil on canvas,27 x 22 cm; Frame,1805,1805,painting; portrait; left facing; woman; sitting; brunette; gown,https://artcrimes.fbi.gov/nsaf/portrait-of-tjallinga-thoe-schwartzenberg/Schwartzenberg.gif/@@images/image/thumb
3390,A Diary of a Journey Into North Wales in the Year 1774,Books,Physical Art,895,Samuel Johnson,Printed paper book,,Copyright,,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/a-diary-of-a-journey-into-north-wales-in-the-year-1774/seal-fbi.jpg/@@images/image/thumb
3391,Mrs. Tickell,Paintings,Physical Art,1121,"John Hoppner, R. A.",Oil on canvas,29 x 24 in.,,,,https://artcrimes.fbi.gov/nsaf/mrs-tickell/01121_mrs_tickell_picture.PNG/@@images/image/thumb
3392,Cubist Nude,Paintings,Physical Art,285,Vladimir Davidovich Baranoff-Rossine,Oil on canvas,65.50 x 53.30 cm,20th Century,1974,painting; nude; Portrait on reverse of painting,https://artcrimes.fbi.gov/nsaf/cubist-nude/CubistNude.jpg/@@images/image/thumb
3393,Wild Plum,Paintings,Physical Art,953,Charles Barrows,Watercolor,14.25 x 20.25 in,1938,1938,"painting; exterior; trees; orchard; mountain; Signed ""Charles Barrows"" in lower right, and dated ""38""; Santa Barbara Museum of Art label on verso",https://artcrimes.fbi.gov/nsaf/wild-plum/seal-fbi.jpg/@@images/image/thumb
3394,A La Daumier,Paintings,Physical Art,964,John Decker,Oil on canvas,,1900-1964,1932,painting; man; bald; people,https://artcrimes.fbi.gov/nsaf/a-la-daumier/ALaDaumier.gif/@@images/image/thumb
3395,Leda and Swan,Watercolour Drawings,Physical Art,861,Raul Anguiano,Ink on paper,14 x 19.75 in,1984,1984,drawing; signed and dated '84 in lower right,https://artcrimes.fbi.gov/nsaf/leda-and-swan-id-021453/LedaSwan021453.jpg/@@images/image/thumb
3396,The Journey,Sculpture,Figures,558,Bob Wilfong,Bronze,20 in,20th Century,1983,sculpture; abstract art; circle; Signed of artist engraved on outer base of sculpture; #1/15,https://artcrimes.fbi.gov/nsaf/the-journey/TheJourney.gif/@@images/image/thumb
3397,Under Brooklyn Bridge,Print,Physical Art,779,Christopher Richard Wynne Nevinson,Drypoint,7 x 5 in,1920,1920,"Signed in pencil, from the edition of 50, with margins",https://artcrimes.fbi.gov/nsaf/under-brooklyn-bridge/UnderBrooklynBridge.jpg/@@images/image/thumb
3398,The Song of Dawn,Paintings,Physical Art,697,Saika Doi; Japan,Ink on paper,13 x 26.5 in,1989,1989,painting; abstract art; blue; black; Japanese characters; Red seal of artist on work,https://artcrimes.fbi.gov/nsaf/the-song-of-dawn/SongDawn.gif/@@images/image/thumb
3399,Ceramic pot by Tina Garcia,Other - Assorted,Miscellaneous,1139,Tina Garcia,Ceramic,Height,1991,1991,"Signed, ""91, Tina Garcia, Santa Clara/San Juan",https://artcrimes.fbi.gov/nsaf/ceramic-pot-by-tina-garcia/01139_picture_50.jpg/@@images/image/thumb
3400,Big Lantern of Asakisa Kannon Temple,Print,Physical Art,964,Kusamato Shiro,Woodblock,14.25 x 9.5 in,1900-1956,1928,print; Asian; Japanese; temple; stairs; lantern; figures; walking; Japanese characters upper to lower right side.,https://artcrimes.fbi.gov/nsaf/big-lantern-of-asakisa-kannon-temple/TempleLantern.gif/@@images/image/thumb
3401,Mother and Child: Camera Work Gravure,Photographs,Physical Art,963,Edward Steichen,Paper photograph,Height,,,,https://artcrimes.fbi.gov/nsaf/mother-and-child-camera-work-gravure/seal-fbi.jpg/@@images/image/thumb
3402,Cercle Catholique de Sacre-Coeur,Paintings,Physical Art,95,Maurice Utrillo,Oil on canvas glued to board,22.75 x 18.25,1920-1940,1930,painting,https://artcrimes.fbi.gov/nsaf/cercle-catholique-de-sacre-coeur/Sacre-Coeur.gif/@@images/image/thumb
3403,Marie with White Kitten,Paintings,Physical Art,1046,Max Moran,Oil on canvas,26 x 36 in,1986,1986,,https://artcrimes.fbi.gov/nsaf/marie-with-white-kitten/MarieWhiteKitten.gif/@@images/image/thumb
3404,Picasso at the Zoo,Print,Physical Art,771,Warrington Colescott,Etching,22 x 27 in,1978,1978,print; Pablo Picasso; men; zoo; animals; Signed in pencil by artist with dedication to Alan Fern in bottom margin,https://artcrimes.fbi.gov/nsaf/picasso-at-the-zoo/PicassoZoo.gif/@@images/image/thumb
3405,Noreen Sans,Paintings,Physical Art,605,Margaret Keane,Oil on canvas,20 x 16 in,1979,1979,"painting; girl; Asian; fan; Signed lower right ""MDH Keane 1979""",https://artcrimes.fbi.gov/nsaf/noreen-sans/NoreenSans.gif/@@images/image/thumb
3406,"Owl Sculpture, Labradorite and Petrified Wood",Sculpture,Figures,911,Zadora Limited,Labradorite; Gold; Petrified wood,,20th Century,1907,"sculpture; owl; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/owl-sculpture-labradorite-and-petrified-wood/seal-fbi.jpg/@@images/image/thumb
3407,Crista de la Columna,Sculpture,Figures,1141,Unknown,Wood; Glass,Height,18th Century,1727,"Wooden, carved sculpture with glass eyes; Fissure on the right arm; AFI/DGAPII/4508/09/0386-BC",https://artcrimes.fbi.gov/nsaf/crista-de-la-columna/01141_picture.jpg/@@images/image/thumb
3408,Lilac Macchia Set with Blue and Black Lip Wraps,Sculpture,Figures,872,Dale Chihuly,Glass,Height,,,Sculpture,https://artcrimes.fbi.gov/nsaf/lilac-macchia-set-with-blue-and-black-lip-wraps/LilacMacchiaSetBlueBlackLipWraps.jpg/@@images/image/thumb
3409,Francesco Clemente Woodblock Print,Print,Physical Art,354,Francesco Clemente,Woodblock,16 7/8 x 22 3/8 in,1984,1984,print; modern art; face; head; #152/200,https://artcrimes.fbi.gov/nsaf/francesco-clemente-woodblock-print/WoodBlockPrint.gif/@@images/image/thumb
3410,Clay Figurine of Woman Seated with Hands on Knees,Sculpture,Figures,1049,,Clay,15 x 5 cm,,,sculpture; woman; sitting; hat; shawl,https://artcrimes.fbi.gov/nsaf/clay-figurine-of-woman-seated-with-hands-on-knees/HandsOnKnees.gif/@@images/image/thumb
3411,Woman with a Red Turban | Femme au turban rouge,Paintings,Physical Art,466,,Oil on board,42 x 53.5 cm,1900-1950,1925,"painting, woman",https://artcrimes.fbi.gov/nsaf/woman-with-a-red-turban-femme-au-turban-rouge/WomanWithARedTurban.gif/@@images/image/thumb
3412,Yellow Boy,Sculpture,Figures,596,Chilmark; Don Polland,Pewter,10.25 in,,,sculpture; Native American; man; standing; rifle; pistol; Number 200 of 1200,https://artcrimes.fbi.gov/nsaf/yellow-boy/YellowBoy.gif/@@images/image/thumb
3413,"Tartaro, Portrait of a Woman",Paintings,Physical Art,919,Nana Tartaro; Russia,Oil on canvas,60 x 36 in,,,painting; portrait; woman; left facing; flag; hat; sash; Signed,https://artcrimes.fbi.gov/nsaf/tartaro-portrait-of-a-woman/TartaroWoman.gif/@@images/image/thumb
3414,Summer VI,Paintings,Physical Art,71,Pedro Lazaro,Acrylic on canvas,48 x 48 in,2003,2003,Signed lower left and on back,https://artcrimes.fbi.gov/nsaf/summer-vi/summerVI_lazaro.jpg/@@images/image/thumb
3415,Daniel Webster,Paintings,Physical Art,169,American,Oil on canvas,19.25 x 14.5 in,1850s,1850,painting; portrait; man; bald; Unsigned,https://artcrimes.fbi.gov/nsaf/daniel-webster/DanielWebster.gif/@@images/image/thumb
3416,Woman with Child,Print,Physical Art,861,Mora,Lithograph,11.25 x 14 in,1944,1944,print; woman; child; signed and dated 1944; limited edition 8/10,https://artcrimes.fbi.gov/nsaf/woman-with-child-id-021465/WomanChild021465.jpg/@@images/image/thumb
3417,Betina and Children,Print,Physical Art,893,Edna Hibel,Lithograph,,20th Century,1906,print; portrait; woman; infant; girl; Signed; Portfolio # 363 - Artist Proof,https://artcrimes.fbi.gov/nsaf/betina-and-children/seal-fbi.jpg/@@images/image/thumb
3418,A Duel After the Masked Ball,Paintings,Physical Art,1002,George Patten,Oil on canvas,15 3/8 x 22 1/8 in,1801-1958,1880,painting; landscape,https://artcrimes.fbi.gov/nsaf/a-duel-after-the-masked-ball/DuelAfterMaskedBall.jpg/@@images/image/thumb
3419,City Corner,Paintings,Physical Art,953,Elliot Orr,Oil,23 x 29 in,1938,1938,"painting; exterior; building; stairs; night; man; walking; Signed lower right ""Elliot Orr""; Rear tag data",https://artcrimes.fbi.gov/nsaf/city-corner/CityCorner.gif/@@images/image/thumb
3420,Joan of Arc as a Prisoner,Sculpture,Figures,91,Louis Ernest Barrias,Bronze,13.75 in,1892-1905,1899,sculpture; woman; standing; prisoner; tied; Inscription on base,https://artcrimes.fbi.gov/nsaf/joan-of-arc-as-a-prisoner/PrisonerJoan.gif/@@images/image/thumb
3421,"Snipe (bird) Brooch, Rutile Quartz and Diamond",Brooches and Pins,Accessories,911,Zadora Limited,Gold; Quartz; Diamond,,20th Century,1975,"brooch; snipe; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/snipe-bird-brooch-rutile-quartz-and-diamond/seal-fbi.jpg/@@images/image/thumb
3422,"Mind, Body, Spirit",Sculpture,Figures,969,George Carlson,Bronze,24 in,1992,1992,"sculpture; nude man; standing; Signed ""Carlson""; Edition #8/21",https://artcrimes.fbi.gov/nsaf/mind-body-spirit/MindBodySpirit.gif/@@images/image/thumb
3423,Stone Flower - Blue,Print,Physical Art,697,Hideo Hagiwara; Japan,Ink on paper,24 x 36 in,1960,1960,"print; abstract art; Signed, titled and numbered in pencil.; Artist Proof (edition 30)",https://artcrimes.fbi.gov/nsaf/stone-flower-blue/seal-fbi.jpg/@@images/image/thumb
3424,Leviathanus,Paintings,Physical Art,197,Robert Wyland,Oil on canvas,29.5 x 40 in,1988,1988,painting; water; ocean; whales; Signed,https://artcrimes.fbi.gov/nsaf/leviathanus/Leviathanus.gif/@@images/image/thumb
3425,Untitled F. Cavelli Oil Painting,Paintings,Physical Art,979,F. Cavell,Oil on canvas,18 x 24 in,1880,1880,painting; exterior; dogs; three; barking; tree; bird; Signed and dated,https://artcrimes.fbi.gov/nsaf/untitled-f-cavelli-oil-painting/ThreeDogs.gif/@@images/image/thumb
3426,Pink Roses Still Life,Paintings,Physical Art,730,K. Ruperli,Oil on canvas,17 x 21 in,1883,1883,painting; still life; roses; Signed by K. Ruperli,https://artcrimes.fbi.gov/nsaf/pink-roses-still-life/PinkRosesStillLife.gif/@@images/image/thumb
3427,Murder in the Cathedral,Books,Physical Art,895,Thomas Stearns Eliot,Printed paper book,Length,Copyright,,book; Kenyon College books can be identified by the following,https://artcrimes.fbi.gov/nsaf/murder-in-the-cathedral/seal-fbi.jpg/@@images/image/thumb
3428,"Native American, Front Mask of Chief's Headdress",Other - Assorted,Miscellaneous,248,Pacific Northwest; Tsimshian,Wood; Mother of pearl,,,,mask; Pacific Northwest; animal,https://artcrimes.fbi.gov/nsaf/native-american-front-mask-of-chiefs-headdress/FrontMask.gif/@@images/image/thumb
